PWM: VALID | duty: 96.1% | requested motor: 7349 rpm | ramp target motor: 7349 rpm | requested spindle: 12016 rpm | ramp target spindle: 12016 rpm | measured motor: 7347 rpm | measured spindle: 12012 rpm | Iq setpoint: 1.208 A | Iq measured: 1.052 A | Iq filtered: 1.173 A | power index: 8618 | Vbus: 47.61 V | Ibus: 0.45 A | Id measured: 0.444 A | Hall: 0b10 | electrical phase: 0.8639 rad | Vd: 0.000 V | Vq: 0.413 V | modulation: 0.533 | Blue: 1471.1 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.1% | requested motor: 7347 rpm | ramp target motor: 7347 rpm | requested spindle: 12012 rpm | ramp target spindle: 12012 rpm | measured motor: 7344 rpm | measured spindle: 12008 rpm | Iq setpoint: 1.204 A | Iq measured: 1.507 A | Iq filtered: 1.127 A | power index: 8279 | Vbus: 47.63 V | Ibus: 0.79 A | Id measured: -0.020 A | Hall: 0b100 | electrical phase: 0.4158 rad | Vd: 0.000 V | Vq: 0.404 V | modulation: 0.543 | Blue: 1470.0 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.1% | requested motor: 7343 rpm | ramp target motor: 7343 rpm | requested spindle: 12006 rpm | ramp target spindle: 12006 rpm | measured motor: 7348 rpm | measured spindle: 12014 rpm | Iq setpoint: 1.139 A | Iq measured: 1.229 A | Iq filtered: 1.179 A | power index: 8665 | Vbus: 47.64 V | Ibus: 0.46 A | Id measured: 0.528 A | Hall: 0b10 | electrical phase: 0.8985 rad | Vd: 0.000 V | Vq: 0.450 V | modulation: 0.568 | Blue: 1470.7 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.0% | requested motor: 7340 rpm | ramp target motor: 7340 rpm | requested spindle: 12001 rpm | ramp target spindle: 12001 rpm | measured motor: 7352 rpm | measured spindle: 12020 rpm | Iq setpoint: 1.040 A | Iq measured: 1.246 A | Iq filtered: 1.202 A | power index: 8834 | Vbus: 47.62 V | Ibus: 0.74 A | Id measured: -0.111 A | Hall: 0b1 | electrical phase: 0.2077 rad | Vd: 0.000 V | Vq: 0.377 V | modulation: 0.566 | Blue: 1467.8 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7352 rpm | ramp target motor: 7352 rpm | requested spindle: 12020 rpm | ramp target spindle: 12020 rpm | measured motor: 7327 rpm | measured spindle: 11979 rpm | Iq setpoint: 1.316 A | Iq measured: 1.251 A | Iq filtered: 1.127 A | power index: 8261 | Vbus: 47.62 V | Ibus: 0.92 A | Id measured: -0.140 A | Hall: 0b100 | electrical phase: 0.4478 rad | Vd: 0.000 V | Vq: 0.456 V | modulation: 0.563 | Blue: 1470.4 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7353 rpm | ramp target motor: 7353 rpm | requested spindle: 12022 rpm | ramp target spindle: 12022 rpm | measured motor: 7353 rpm | measured spindle: 12022 rpm | Iq setpoint: 1.155 A | Iq measured: 1.251 A | Iq filtered: 1.152 A | power index: 8474 | Vbus: 47.63 V | Ibus: 0.63 A | Id measured: -0.130 A | Hall: 0b11 | electrical phase: 0.9926 rad | Vd: 0.000 V | Vq: 0.407 V | modulation: 0.566 | Blue: 1470.6 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7353 rpm | ramp target motor: 7353 rpm | requested spindle: 12023 rpm | ramp target spindle: 12023 rpm | measured motor: 7347 rpm | measured spindle: 12013 rpm | Iq setpoint: 1.200 A | Iq measured: 1.041 A | Iq filtered: 0.974 A | power index: 7155 | Vbus: 47.62 V | Ibus: 0.87 A | Id measured: -0.021 A | Hall: 0b110 | electrical phase: 0.5999 rad | Vd: 0.000 V | Vq: 0.438 V | modulation: 0.549 | Blue: 1470.0 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7353 rpm | ramp target motor: 7353 rpm | requested spindle: 12022 rpm | ramp target spindle: 12022 rpm | measured motor: 7370 rpm | measured spindle: 12050 rpm | Iq setpoint: 0.911 A | Iq measured: 1.043 A | Iq filtered: 1.030 A | power index: 7590 | Vbus: 47.62 V | Ibus: 0.77 A | Id measured: 1.168 A | Hall: 0b101 | electrical phase: 0.2081 rad | Vd: 0.000 V | Vq: 0.367 V | modulation: 0.552 | Blue: 1470.2 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7355 rpm | ramp target motor: 7355 rpm | requested spindle: 12025 rpm | ramp target spindle: 12025 rpm | measured motor: 7357 rpm | measured spindle: 12029 rpm | Iq setpoint: 1.069 A | Iq measured: 0.793 A | Iq filtered: 1.163 A | power index: 8553 | Vbus: 47.63 V | Ibus: 0.69 A | Id measured: 0.372 A | Hall: 0b10 | electrical phase: 0.8034 rad | Vd: 0.000 V | Vq: 0.326 V | modulation: 0.541 | Blue: 1470.2 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7351 rpm | ramp target motor: 7351 rpm | requested spindle: 12019 rpm | ramp target spindle: 12019 rpm | measured motor: 7353 rpm | measured spindle: 12021 rpm | Iq setpoint: 1.080 A | Iq measured: 1.458 A | Iq filtered: 1.068 A | power index: 7849 | Vbus: 47.62 V | Ibus: 0.59 A | Id measured: -0.070 A | Hall: 0b110 | electrical phase: 0.5923 rad | Vd: 0.000 V | Vq: 0.362 V | modulation: 0.567 | Blue: 1469.9 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.1% | requested motor: 7347 rpm | ramp target motor: 7347 rpm | requested spindle: 12013 rpm | ramp target spindle: 12013 rpm | measured motor: 7357 rpm | measured spindle: 12028 rpm | Iq setpoint: 0.997 A | Iq measured: 1.081 A | Iq filtered: 1.043 A | power index: 7673 | Vbus: 47.66 V | Ibus: 0.43 A | Id measured: -0.644 A | Hall: 0b1 | electrical phase: 0.1092 rad | Vd: 0.000 V | Vq: 0.414 V | modulation: 0.577 | Blue: 1469.9 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.2% | requested motor: 7351 rpm | ramp target motor: 7351 rpm | requested spindle: 12019 rpm | ramp target spindle: 12019 rpm | measured motor: 7304 rpm | measured spindle: 11942 rpm | Iq setpoint: 1.789 A | Iq measured: 1.313 A | Iq filtered: 1.546 A | power index: 11293 | Vbus: 47.60 V | Ibus: 1.25 A | Id measured: 0.043 A | Hall: 0b100 | electrical phase: 0.3303 rad | Vd: 0.000 V | Vq: 0.375 V | modulation: 0.560 | Blue: 1462.0 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.3% | requested motor: 7365 rpm | ramp target motor: 7365 rpm | requested spindle: 12041 rpm | ramp target spindle: 12041 rpm | measured motor: 7264 rpm | measured spindle: 11877 rpm | Iq setpoint: 2.722 A | Iq measured: 2.780 A | Iq filtered: 2.665 A | power index: 19362 | Vbus: 47.65 V | Ibus: 0.83 A | Id measured: -0.404 A | Hall: 0b110 | electrical phase: 0.3289 rad | Vd: 0.000 V | Vq: 0.963 V | modulation: 0.594 | Blue: 1449.0 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.6% | requested motor: 7387 rpm | ramp target motor: 7387 rpm | requested spindle: 12078 rpm | ramp target spindle: 12078 rpm | measured motor: 7291 rpm | measured spindle: 11921 rpm | Iq setpoint: 3.134 A | Iq measured: 1.963 A | Iq filtered: 3.037 A | power index: 22145 | Vbus: 47.58 V | Ibus: 2.23 A | Id measured: -0.199 A | Hall: 0b1 | electrical phase: 0.8688 rad | Vd: 0.000 V | Vq: 1.325 V | modulation: 0.579 | Blue: 1456.3 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.7% | requested motor: 7395 rpm | ramp target motor: 7395 rpm | requested spindle: 12091 rpm | ramp target spindle: 12091 rpm | measured motor: 7320 rpm | measured spindle: 11968 rpm | Iq setpoint: 3.058 A | Iq measured: 2.727 A | Iq filtered: 3.205 A | power index: 23462 | Vbus: 47.55 V | Ibus: 1.87 A | Id measured: 0.090 A | Hall: 0b1 | electrical phase: 0.9223 rad | Vd: 0.000 V | Vq: 1.408 V | modulation: 0.588 | Blue: 1467.6 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.8% | requested motor: 7399 rpm | ramp target motor: 7399 rpm | requested spindle: 12097 rpm | ramp target spindle: 12097 rpm | measured motor: 7342 rpm | measured spindle: 12005 rpm | Iq setpoint: 3.055 A | Iq measured: 2.552 A | Iq filtered: 3.126 A | power index: 22950 | Vbus: 47.54 V | Ibus: 2.25 A | Id measured: -1.423 A | Hall: 0b10 | electrical phase: 0.7825 rad | Vd: 0.000 V | Vq: 1.114 V | modulation: 0.598 | Blue: 1464.7 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.8% | requested motor: 7401 rpm | ramp target motor: 7401 rpm | requested spindle: 12100 rpm | ramp target spindle: 12100 rpm | measured motor: 7365 rpm | measured spindle: 12042 rpm | Iq setpoint: 3.048 A | Iq measured: 2.823 A | Iq filtered: 3.332 A | power index: 24539 | Vbus: 47.58 V | Ibus: 2.00 A | Id measured: 0.069 A | Hall: 0b11 | electrical phase: 0.7839 rad | Vd: 0.000 V | Vq: 1.173 V | modulation: 0.607 | Blue: 1468.5 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
PWM: VALID | duty: 96.8% | requested motor: 7399 rpm | ramp target motor: 7399 rpm | requested spindle: 12098 rpm | ramp target spindle: 12098 rpm | measured motor: 7338 rpm | measured spindle: 11998 rpm | Iq setpoint: 3.493 A | Iq measured: 3.012 A | Iq filtered: 3.374 A | power index: 24762 | Vbus: 47.59 V | Ibus: 1.84 A | Id measured: 1.377 A | Hall: 0b1 | electrical phase: 0.0532 rad | Vd: 0.000 V | Vq: 1.130 V | modulation: 0.602 | Blue: 1475.1 Hz | drive: ENABLED | speed monitor: ARMED | power monitor: NORMAL | state: 8 | active errors: 0x0 | disarm: 0x0 | CANSimple: CONNECTED (0 consecutive failures) | Red: NORMAL
